INCI name,EINECS/ELINCS number,Classification,Penalty,Functions,Other language,Other languages,Origin(s),Food additive,Chemical name
TETRASODIUM GLUTAMATE DIACETATE,257-573-7,,"""No penalty"" in all categories.",['Chelating : Reacts and forms complexes with metal ions that could affect the stability and / or appearance of cosmetic products'],,"Diacetat de glutamat tetrasodic, Diacetato de glutamato tetrassódico, Diacetato de glutamato tetrasódico, Diacetato di glutammato tetrasodico, Dwuoctan glutaminianu czterosodowego, Glutamát diacetát tetrasodný, TGD (Tetrasodium Glutamate Diacetate), Tetranatrijev glutamat diacetat, Tetranatriumglutamaatdiacetaat, Tetranatriumglutamatdiacetat, Tetranátrium-glutamát-diacetát, Tetrasodyum Glutamat Diasetat, Тетранатриев глутамат диацетат, Тетранатријум глутамат диацетат, טטרסודיום גלוטמט דיאצטט, ثنائي أسيتات الغلوتامات رباعي الصوديوم, グルタミン酸二酢酸四ナトリウム, 테트라소듐글루탐산디아세테이트",Synthetic,,
THEOBROMA CACAO EXTRACT,283-480-6,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Cacao-extract, Ekstrakt kakaovca, Ekstrakt z kakao, Estratto di cacao, Extract de cacao, Extracto de cacao, Extrait de Cacao, Extrato de cacau, Kakao özütü, Kakaoextrakt, Kakaový extrakt, Kakaó kivonat, Екстракт какаоа, Екстракт от какао, תמצית קקאו, مستخلص الكاكاو, カカオエキス, 코코아 추출물",Vegetal,,
THEOBROMA CACAO SEED BUTTER,283-480-6 / -,,"""No penalty"" in all categories.","['Emollient : Softens and smoothes the skin', 'Masking : Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning : Maintains skin in good condition', 'Skin protecting : Helps to avoid the harmful effects of external factors on the skin']",,"Beurre de cacao, Burro di semi di cacao, Cacaopittenboter, Kakao tohumu yağı, Kakaobutter, Kakaové maslo, Kakaové máslo, Kakaómagvaj, Manteca de semillas de cacao, Manteiga de cacau, Maslac od kakaovih sjemenki, Masło z nasion kakaowca, Unt din semințe de cacao, Маслац од семена какаоа, Масло от какаови семена, חמאת זרעי קקאו, زبدة بذور الكاكاو, ココア・シード・バター, 코코아 씨드 버터",Vegetal,,
THEOBROMA CACAO SEED EXTRACT,283-480-6 / -,,"""No penalty"" in all categories.","['Antioxidant : Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity']",,"Cacao-extract, Ekstrakt sjemenki kakaovca, Ekstrakt z nasion kakaowca, Estratto di semi di cacao, Extract din semințe de cacao, Extracto de semilla de cacao, Extrait de graine de Cacao, Extrakt z kakaových semen, Extrakt z kakaových semien, Extrato de semente de cacau, Kakao çekirdeği özütü, Kakaosamenextrakt, Kakaómag kivonat, Екстракт от какаови семена, Екстракт семена какаоа, תמצית זרעי קקאו, مستخلص بذور الكاكاو, カカオ種子エキス, 코코아씨 추출물",Vegetal,,
THEOPHYLLINE,200-385-7,Forbidden in Europe,"""Strong penalty"" in all categories.",['Skin conditioning - miscellaneous : Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness.'],,,,,
THIOGLYCOLIC ACID,200-677-4,Regulated,"""Low penalty"" in all categories.","['', '', '', '']",Acide thioglycolique et ses sels,,,,
THREONINE,200-774-1 / 201-300-6,,"""No penalty"" in all categories.","['Antistatic : Reduces static electricity by neutralizing electrical charge on a surface', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Hair waving or straightening : Modifies the chemical structure of the hair, to style it in the required style']",,"Threonin, Thréonine, Treonin, Treonina, threonin, treonin, treonín, Треонин, ת'רונין, ثريونين, トレオニン, 트레오닌",,,
THUJA OCCIDENTALIS BARK EXTRACT,290-370-1,Regulated,"""Low penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,,Vegetal,,
THUJA OCCIDENTALIS LEAF,290-370-1,Regulated,"""Low penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,,Vegetal,,
THUJA OCCIDENTALIS LEAF EXTRACT,290-370-1,Regulated,"""Low penalty"" in all categories.","['Antioxidant : Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Bleaching : Lightens hair and complexion shades', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",,,Vegetal,,
THUJA OCCIDENTALIS LEAF OIL,290-370-1,"Regulated, Essential oil","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Tonic : Produces a feeling of well-being on skin and hair', 'Perfuming : Used for perfume and aromatic raw materials']",,,Vegetal,,
THUJA OCCIDENTALIS ROOT EXTRACT,290-370-1,Regulated,"""Low penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,,Vegetal,,
THUJA OCCIDENTALIS STEM OIL,290-370-1,"Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
THYMUS SATUREIOIDES OIL,,Essential oil,"""No penalty"" in all categories.",[],Huile de Thym à feuilles de sarriette,,Vegetal,,
THYMUS SERPILLUM EXTRACT,284-023-3,,"""No penalty"" in all categories.",[],,"Ekstrakt divlje majčine dušice, Ekstrakt z tymianku dzikiego, Estratto di timo selvatico, Extract de cimbru sălbatic, Extract van wilde tijm, Extracto de tomillo salvaje, Extrait de Serpolet, Extrakt z divokého tymiánu, Extrato de tomilho selvagem, Vad kakukkfű kivonat, Wilder Thymian-Extrakt, Yabani Kekik özütü, Екстракт дивљег тимијана, Екстракт от дива мащерка, תמצית קורנית בר, مستخلص الزعتر البري, ワイルドタイムエキス, 야생 타임 추출물",Vegetal,,
THYMUS VULGARIS EXTRACT,284-535-7,,"""No penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",,"Ekstrakt majčine dušice, Ekstrakt z tymianku, Estratto di timo, Extract de cimbru, Extracto de tomillo, Extrait de thym, Extrakt z tymiánu, Extrato de tomilho, Kakukkfű kivonat, Kekik özütü, Thymian-Extrakt, Tijm extract, Екстракт от мащерка, Екстракт тимијана, תמצית קורנית, مستخلص الزعتر, タイムエキス, 타임 추출물",Vegetal,,
THYMUS VULGARIS FLOWER/LEAF EXTRACT,284-535-7,,"""No penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning : Maintains skin in good condition', 'Tonic : Produces a feeling of well-being on skin and hair']",,"Ekstrakt majčine dušice (cvijet/list), Ekstrakt z tymianku (kwiat/liść), Estratto di timo (fiore/foglia), Extract de cimbru (floare/frunza), Extracto de tomillo (flor/hoja), Extrait de Thym (fleur / feuille), Extrakt z tymiánu (kvet/list), Extrakt z tymiánu (květ/list), Extrato de tomilho (flor/folha), Kakukkfű kivonat (virág/levél), Kekik özütü (çiçek/yaprak), Thymianextrakt (Blüte / Blatt), Tijmextract (bloem/blad), Екстракт от мащерка (цвят/листа), Екстракт тимијана (цвет / лист), תמצית טימין (פרח/עלה), مستخلص الزعتر (الزهرة / الورقة), タイムエキス（花・葉）, 타임 추출물(꽃/잎)",Vegetal,,
THYMUS VULGARIS FLOWER/LEAF OIL,284-535-7 / -,Essential oil,"""No penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning : Maintains skin in good condition', 'Tonic : Produces a feeling of well-being on skin and hair']",,"Aceite de tomillo (flor/hoja), Huile de fleur/feuille de thym, Kakukkfű olaj (virág/levél), Kekik yağı (çiçek/yaprak), Olejek tymiankowy (kwiat/liść), Olio di timo (fiore/foglia), Thymianöl (Blüte/Blatt), Tijmolie (bloem/blad), Tymiánový olej (kvet/list), Tymiánový olej (květ/list), Ulei de cimbru (floare/frunză), Ulje majčine dušice (cvijet/list), Óleo de tomilho (flor/folha), Масло от мащерка (цвят/листа), Уље тимијана (цвет/лист), שמן טימין (פרח/עלה), زيت الزعتر (الزهرة/الورقة), タイムオイル（花/葉）, 타임 오일(꽃/잎)",Vegetal,,
THYMUS VULGARIS LEAF EXTRACT,284-535-7,,"""No penalty"" in all categories.",['Skin protecting : Helps to avoid the harmful effects of external factors on the skin'],,"Ekstrakt lista majčine dušice, Ekstrakt z liści tymianku, Estratto di foglie di timo, Extract de frunze de cimbru, Extracto de hoja de tomillo, Extrait de feuille de Thym, Extrakt z listov tymiánu, Extrakt z listů tymiánu, Extrato de folha de tomilho, Kakukkfű levél kivonat, Kekik yaprağı özütü, Thymianblattextrakt, Tijmblad extract, Екстракт листова тимијана, Екстракт от листа на мащерка, תמצית עלי טימין, مستخلص أوراق الزعتر, タイム葉エキス, 타임 잎 추출물",Vegetal,,
THYMUS VULGARIS LEAF OIL,284-535-7,Essential oil,"""No penalty"" in all categories.","['Antimicrobial : Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Antioxidant : Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Preservative : Inhibits the development of microorganisms in cosmetic products.']",,"Aceite de hojas de tomillo, Huile de Thym, Kakukkfű levél olaj, Kekik yaprağı yağı, Olej z listů tymiánu, Olej z tymianových listov, Olejek z liści tymianku, Olio di foglie di timo, Thymianblattöl, Tijmbladolie, Ulei din frunze de cimbru, Ulje listova timijana, Óleo de folha de tomilho, Масло от листа на мащерка, Уље од листова тимијана, שמן עלי טימין, زيت أوراق الزعتر, タイム葉油, 타임 잎 오일",Vegetal,,
THYMUS VULGARIS OIL,284-535-7,Essential oil,"""No penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Perfuming : Used for perfume and aromatic raw materials']",,"Aceite de tomillo, Huile de thym, Kakukkfű olaj, Kekik yağı, Olejek tymiankowy, Olio di timo, Thymianöl, Tijmolie, Tymiánový olej, Ulei de cimbru, Ulje majčine dušice, Óleo de tomilho, Масло от мащерка, Уље тимијана, שמן טימין, زيت الزعتر, タイムオイル, 타임 오일",Vegetal,,
THYMUS ZYGIS FLOWER OIL,285-397-0,Essential oil,"""No penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
TILIA CORDATA FLOWER EXTRACT,284-536-2,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Ekstrakt cvijeta lipe, Ekstrakt z kwiatów lipy, Estratto di fiori di tiglio, Extract din flori de tei, Extract van lindebloesem, Extracto de flor de tilo, Extrait de fleurs de tilleul à petites feuilles, Extrakt z lipového kvetu, Extrakt z lipového květu, Extrato de flor de tília, Hársvirág kivonat, Ihlamur çiçeği özütü, Lindenblütenextrakt, Екстракт от липов цвят, Екстракт цвета липе, תמצית פרחי לינדן, مستخلص زهرة الزيزفون, シナノキの花エキス, 린든꽃 추출물",Vegetal,,
TILIA CORDATA OIL,284-536-2,,"""No penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning : Maintains skin in good condition']",,"Aceite de tilo, Huile de tilleul, Lindenöl, Olio di tiglio, Óleo de tília",Vegetal,,
TIN OXIDE,242-159-0,,"""No penalty"" in all categories.","['Abrasive : Removes materials from the surface of the body, helps clean teeth and improves shine.', 'Bulking : Reduces apparent cosmetics density.', 'Opacifying : Reduces transparency or translucency of cosmetics', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics']",,"Kalay oksit, Kositar oksid, Ossido di stagno, Oxid cínatý, Oxid cínu, Oxid de staniu, Oxyde d'étain, Tlenek cyny, Zinnoxid, Ón-oxid, Óxido de estanho, Óxido de estaño, Калај оксид, Оловен оксид, תחמוצת פח, أكسيد القصدير, 酸化スズ, 산화주석",Mineral,,
TITANIUM DIOXIDE,236-675-5,"Regulated, UV mineral filter","""Strong penalty"" in the following categories :, Breath, Children toothpaste, Adult toothpaste, Cream for braces, Children toothbrush, Adult toothbrush, Anti-stain and teeth whitening, Solid toothpaste, ""Low penalty"" in all other categories., Penalised in lip products, Penalised in loose make-up powders, Penalized in spray products","['', '', '', '']",,"Filtr UV (dwutlenek tytanu), Filtre UV (Dioxyde de titane), Filtro UV (Diossido di titanio), Filtro UV (Dióxido de titanio), Filtro UV (Dióxido de titânio), Filtru UV (dioxid de titan), UV filter (oxid titaničitý), UV filter (titan dioksid), UV filtr (oxid titaničitý), UV filtresi (Titanyum Dioksit), UV szűrő (titán-dioxid), UV филтър (титаниев диоксид), UV 필터(이산화티타늄), UV-Filter (Titandioxid), UV-filter (titaniumdioxide), UVフィルター（二酸化チタン）, УВ филтер (титанијум диоксид), מסנן UV (טיטניום דו חמצני), فلتر الأشعة فوق البنفسجية (ثاني أكسيد التيتانيوم)",Mineral,E171,
TOCOPHEROL,200-201-5 / 240-747-1 / 233-466-0 / 204-299-0 /215-798-8 / - / 218-197-9 / 200-412-2 / -,,"""No penalty"" in all categories.","['Antioxidant : Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Masking : Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning - miscellaneous : Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness.', 'Skin conditioning - occlusive : Retarding the evaporation of water from the skin surface. Occlusives are generally lipids which tend to remain on the skin surface and thus increase the water content of skin.']",,"E Vitamini, E-vitamin, Vitamina E, Vitamina e, Vitamine E, Vitamín E, Witamina E, Витамин Е, ויטמין E, فيتامين هـ, ビタミンE, 비타민 E","Vegetal, Synthetic",E307,
TOCOPHERYL ACETATE,231-710-0 / 200-405-4,,"""No penalty"" in all categories.","['Antioxidant : Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Skin conditioning : Maintains skin in good condition']",,"Acetato de tocoferilo, Acetato de tocoferol, Acetato di tocoferile, Acétate de tocophérol, Octan tokoferylu, Tocoferil acetat, Tocoferylacetaat, Tocopherylacetat, Tokoferil acetat, Tokoferil asetat, Tokoferil-acetát, Tokoferylacetát, Токоферил ацетат, Тоцопхерил ацетате, טוקופריל אצטט, أسيتات التوكوفيريل, 酢酸トコフェロール, 토코페릴 아세테이트","Vegetal, Synthetic",,
TOLUENE,203-625-9,"Suspected endocrine disruptor, Regulated, VOC","""Strong penalty"" in all categories.","['Antioxidant : Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity', 'Solvent : Dissolves other substances']",,,,,
"TOLUENE-2,5-DIAMINE",202-442-1,"Regulated, Hair dye","""Strong penalty"" in all categories.",[''],,,Synthetic,,
"TOLUENE-2,5-DIAMINE SULFATE",210-431-8,"Sulphate, Regulated, Hair dye","""Strong penalty"" in all categories.",[''],,,,,
TOSYLAMIDE/EPOXY RESIN,-,Synthetic polymer,"""Medium penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Plasticiser : Softens and softens another substance that otherwise could not easily be deformed, dispersed or worked']",,,Synthetic,,
TRANS-2-HEXENAL,229-778-1,Regulated,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
TRANS-ANETHOLE,224-052-0 / 203-205-5,"Allergen, Regulated","""Low penalty"" in all categories.",[],,,,,(E)-1-Methoxy-4-(1-propenyl)-benzene
TRANS-ROSE KETONE-1,246-430-4,"Allergen, Regulated","""Low penalty"" in all categories.",[],,,,,"(E)-1-(2,6,6-Trimethyl-2-cyclohexenyl)-2-buten-1-one; trans-a-damascone"
TRANS-ROSE KETONE-2,245-842-1,"Allergen, Regulated","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
TRANS-ROSE KETONE-3,275-156-8,"Allergen, Regulated","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
TREHALOSE,202-739-6,,"""No penalty"" in all categories.","['Humectant : Maintains water content of a cosmetic both in its packaging and on the skin', 'Moisturising : Increases the water content of the skin and helps keep it smooth and smooth']",,"Trealose, Trealosio, Trehalosa, Trehaloz, Trehaloza, Trehaloză, Trehalóz, Trehalóza, Tréhalose, trehalóza, Трехалоза, טרהלוס, التريهالوز, トレハロース, 트레할로스",,,
TRIACONTANYL PVP,-,Synthetic polymer,"""Medium penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Humectant : Maintains water content of a cosmetic both in its packaging and on the skin', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics']",,,Synthetic,,
TRIBEHENIN,242-471-7,,"""No penalty"" in all categories.","['Emollient : Softens and smoothes the skin', 'Skin conditioning : Maintains skin in good condition']",,"Kabileler, Stammesangehöriger, Tribehenina, Tribo, Tribùhenin, plemiennina, Трибехенин, טריבהנין, تريبيهينين, トリベヘニン, 트리베헤닌",,,
TRIBUTYL CITRATE,201-071-2,Suspected endocrine disruptor,"""Strong penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Plasticiser : Softens and softens another substance that otherwise could not easily be deformed, dispersed or worked', 'Solvent : Dissolves other substances']",,,,,
TRICLOCARBAN,202-924-1,"Suspected endocrine disruptor, Regulated, Preservative","""Strong penalty"" in all categories.","['Antimicrobial : Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Deodorant : Reduces or masks unpleasant body odors', 'Preservative : Inhibits the development of microorganisms in cosmetic products.']",,,,,
TRICLOSAN,222-182-2,"Suspected endocrine disruptor, Regulated, Preservative","""Strong penalty"" in all categories.","['Antimicrobial : Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Deodorant : Reduces or masks unpleasant body odors', 'Preservative : Inhibits the development of microorganisms in cosmetic products.']",,,Synthetic,,
TRIDECANE,211-093-4,VOC,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
TRIDECETH-12,*607-463-3 / 500-241-6,Ethoxylated compound,"""Medium penalty"" in all categories.","['Emulsifying : Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Surfactant : Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']",,"Das 12. Kapitel, Tridecet-12, Üçlüdeset-12, Тридекет-12, Тридецет-12, טרידסת'-12, تراي ديسيث-12, トリデセス-12, 트리데세스-12",,,
TRIDECETH-6,*607-463-3 / 500-241-6,Ethoxylated compound,"""Medium penalty"" in all categories.","['Emulsifying : Promotes the formation of intimate mixtures between immiscible liquids by modifying the interfacial tension (water and oil)', 'Surfactant : Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']",,"Tridecet-6, Trideketh-6, Üçlüdeset-6, Тридекет-6, Тридецетх-6, טרידסת'-6, تراي ديسيث-6, トリデセス-6, 트리데세스-6",,,
TRIDECYL SALICYLATE,243-214-1,,"""Medium penalty"" in all categories.","['Antistatic : Reduces static electricity by neutralizing electrical charge on a surface', 'Skin conditioning : Maintains skin in good condition']",,,Synthetic,,
TRIDECYL TRIMELLITATE,302-446-4,,"""No penalty"" in all categories.","['Emollient : Softens and smoothes the skin', 'Skin conditioning : Maintains skin in good condition']",,"Tridecil Trimelitat, Tridecil Trimelitato, Tridecil trimelitat, Tridecil trimellitato, Tridecil-trimellitát, Tridecyl trimellitát, Tridecylo trimelitan, Tridecyltrimellitaat, Tridecyltrimellitat, Tridesil Trimellitat, Trimelitato de tridecilo, Trimellitate de tridécyle, Тридецил Тримеллитате, Тридецил тримелитат, تريديسيل تريميليتات, トリデシルトリメリット酸, 트리데실 트리멜리테이트",,,
TRIETHANOLAMINE,203-049-8,"Regulated, TEA","""Medium penalty"" in all categories.","['', '', '', '']",,"Trietanolamin, Trietanolamina, Trietanolamină, Trietanolammina, Trietanoloamina, Triethanolamin, Triethanolamín, Triéthanolamine, Triëthanolamine, trietanolamin, Триетаноламин, טריאתנולמין, ثلاثي إيثانولامين, トリエタノールアミン, 트리에탄올아민",Synthetic,,
TRIETHOXYCAPRYLYLSILANE,220-941-2,,"""Medium penalty"" in all categories.",['Binding agent : Allows the cohesion of different cosmetic ingredients'],,"Triethoxycaprylylsilaan, Triethoxycaprylylsilan, Triethoxykaprylylsilan, Trietoksikaprililsilan, Trietoksykaprylylosilan, Trietossicaprililsilano, Trietoxi-kaprilil-szilán, Trietoxicaprililsilan, Trietoxicaprililsilano, Trietoxykaprylylsilán, Triéthoxycaprylylsilane, Триетоксикаприлилсилан, Триетхокицаприлилсилане, ثلاثي إيثوكسي كابريليل سيلان, トリエトキシカプリリルシラン, 트리에톡시카프릴릴실란",Synthetic,,
TRIETHYL CITRATE,201-070-7,,"""No penalty"" in all categories.","['Deodorant : Reduces or masks unpleasant body odors', 'Masking : Reduces or inhibits the odor or basic taste of the product', 'Plasticiser : Softens and softens another substance that otherwise could not easily be deformed, dispersed or worked', 'Solvent : Dissolves other substances', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics', 'Perfuming : Used for perfume and aromatic raw materials']",,"Citrat de trietil, Citrate de triéthyle, Citrato de trietila, Citrato de trietilo, Citrato di trietile, Cytrynian trietylowy, Triethylcitraat, Triethylcitrat, Trietil Sitrat, Trietil-citrát, triethylcitrát, trietil citrat, trietylcitrát, Триетил цитрат, Триетхил Цитрате, טריאתיל ציטראט, سيترات ثلاثي الإيثيل, クエン酸トリエチル, 트리에틸 시트레이트","Vegetal, Synthetic",E1505,
TRIETHYLENE GLYCOL,203-953-2,Glycol,"""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics', 'Perfuming : Used for perfume and aromatic raw materials']",,,,,
TRIETHYLENE GLYCOL ROSINATE,,"Glycol, Rosin","""Low penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Plasticiser : Softens and softens another substance that otherwise could not easily be deformed, dispersed or worked']",,,"Vegetal, Synthetic",,
TRIETHYLHEXYL TRIMELLITATE,222-020-0,Suspected endocrine disruptor,"""Strong penalty"" in all categories.","['Emollient : Softens and smoothes the skin', 'Plasticiser : Softens and softens another substance that otherwise could not easily be deformed, dispersed or worked', 'Skin conditioning : Maintains skin in good condition']",,,,,
TRIFLUOROACETYL TRIPEPTIDE-2,-,PFAS,"""Medium penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Skin protecting : Helps to avoid the harmful effects of external factors on the skin']",,,,,
TRIFLUOROMETHYL C1-4 ALKYL DIMETHICONE,,"Silicone, PFAS","""Medium penalty"" in all categories.","['Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Humectant : Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning : Maintains skin in good condition']",,,Synthetic,,
TRIFLUOROPROPYL CYCLOPENTASILOXANE,,"Silicone, PFAS","""Medium penalty"" in all categories.","['Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning : Maintains skin in good condition']",,,Synthetic,,
TRIFLUOROPROPYL CYCLOTETRASILOXANE,207-060-9,"Silicone, PFAS","""Medium penalty"" in all categories.","['Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning : Maintains skin in good condition']",,,Synthetic,,
TRIFLUOROPROPYL DIMETHICONE,,"Silicone, PFAS","""Medium penalty"" in all categories.","['Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning : Maintains skin in good condition']",,,Synthetic,,
TRIFLUOROPROPYL DIMETHICONE/TRIFLUOROPROPYL DIVINYLDIMETHICONE CROSSPOLYMER,,"Silicone, Synthetic polymer, PFAS","""Medium penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Surfactant : Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics']",,,Synthetic,,
TRIFLUOROPROPYLDIMETHYL/TRIMETHYLSILOXYSILICATE,,PFAS,"""Medium penalty"" in all categories.","['Binding agent : Allows the cohesion of different cosmetic ingredients', 'Emollient : Softens and smoothes the skin', 'Skin conditioning : Maintains skin in good condition']",,,,,
TRIFOLIUM PRATENSE EXTRACT,285-356-7,,"""No penalty"" in all categories.","['Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning : Maintains skin in good condition']",Extrait de Trèfle des prés,,Vegetal,,
TRIGONELLA FOENUM-GRAECUM SEED EXTRACT,283-415-1,,"""No penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",,"Bockshornkleesamenextrakt, Ekstrakt sjemenki piskavice, Ekstrakt z nasion kozieradki, Estratto di semi di fieno greco, Extract de semințe de schinduf, Extracto de semilla de alholva, Extrait de graine de Fenugrec, Extrakt ze semen pískavice řecké seno, Extrato de semente de feno-grego, Fenegriekzaadextract, Görögszéna mag kivonat, Výťažok zo semien senovky gréckej, Çemen otu tohumu özütü, Екстракт от семена на сминдух, Екстракт семена пискавице, תמצית זרעי חילבה, مستخلص بذور الحلبة, フェヌグリーク種子エキス, 후추씨 추출물",Vegetal,,
TRIHYDROXYPALMITAMIDOHYDROXYPROPYL MYRISTYL ETHER,,,"""Medium penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,,,,
TRIMELLITIC ANHYDRIDE,,,"""Strong penalty"" in all categories.",['Unclassified : Unclassified'],,,,,
TRIMETHYLBENZENEPROPANOL,403-140-4,"Allergen, Regulated","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Perfuming : Used for perfume and aromatic raw materials']",,,,,
TRIMETHYLBENZOPHENONE,403-150-9,,"""Medium penalty"" in all categories.",['Stabilising : Improves ingredients or stability of the formula and shelf life'],,,Synthetic,,
TRIMETHYLBENZOYL DIPHENYLPHOSPHINE OXIDE,278-355-8,"Suspected endocrine disruptor, Regulated, Forbidden in Europe","""Strong penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,,Synthetic,,
TRIMETHYLCYCLOPENTENYL DIMETHYLISOPENTENOL,411-580-3,Suspected endocrine disruptor,"""Strong penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
TRIMETHYLCYCLOPENTENYL METHYLISOPENTENOL,267-140-4,"Allergen, Regulated","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
TRIMETHYLOLPROPANE TRIACRYLATE,239-701-3,Forbidden in Europe,"""Strong penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Hair fixing : Allows hair style control']",,,,,
TRIMETHYLOLPROPANE TRIMETHACRYLATE,221-950-4,Synthetic polymer,"""Medium penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails']",,,Synthetic,,
TRIMETHYLSILOXYSILICATE,,Silicone,"""Medium penalty"" in all categories.","['Antifoaming : Removes foam during manufacturing / reduces foam formation in liquid finished products', 'Emollient : Softens and smoothes the skin', 'Skin conditioning : Maintains skin in good condition']",,"Silicato de trimetilsiloxi, Trimethylsiloxysilicaat, Trimethylsiloxysilikat, Trimethylsiloxysilikát, Trimetil-sziloxi-szilikát, Trimetilsiloksi silikat, Trimetilsiloksisilikat, Trimetilsilossisilicato, Trimetilsiloxisilicat, Trimetilsiloxisilicato, Trimetylosiloksykrzemian, trimetylsiloxysilikát, Триметилсилоксисиликат, טרימתיל סילוקסיליקט, ثلاثي ميثيل السيلوكسي سيليكات, トリメチルシロキシケイ酸, 트리메틸실록시실리케이트",Synthetic,,
TRIMETHYLSILYLAMODIMETHICONE,,Silicone,"""Medium penalty"" in all categories.","['Antistatic : Reduces static electricity by neutralizing electrical charge on a surface', 'Emollient : Softens and smoothes the skin', 'Skin conditioning : Maintains skin in good condition']",,,Synthetic,,
TRIPHENYL PHOSPHATE,204-112-2,Suspected endocrine disruptor,"""Strong penalty"" in all categories.","['Plasticiser : Softens and softens another substance that otherwise could not easily be deformed, dispersed or worked']",,,,,
